anime_id,name,genre,type,episodes,rating,members,rating_10,rating_100,rating_1000
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,8.83,123.772854192613,883
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,8.64,111.603574023019,864
22507,Initial D Final Stage,"Cars, Seinen, Sports",TV,4,8.29,19702,8.29,119.389432197312,829
28025,Tsukimonogatari,"Comedy, Mystery, Supernatural",TV,4,8.21,111009,8.21,116.811812372381,821
16001,Kokoro Connect: Michi Random,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",Special,4,8.19,106989,8.19,116.705833248142,819
1023,Wolf&#039;s Rain OVA,"Adventure, Drama, Psychological, Sci-Fi, Supernatural",OVA,4,8.13,37679,8.13,116.051207431314,813
6421,Fullmetal Alchemist: Brotherhood Specials,"Adventure, Drama, Fantasy, Magic, Military, Shounen",Special,4,8.11,67962,8.11,113.077972843076,811
7338,Darker than Black: Kuro no Keiyakusha Gaiden,"Action, Mystery, Sci-Fi, Super Power",Special,4,8.09,136135,8.09,111.504310783135,809
11135,Hybrid Child,"Drama, Historical, Romance, Sci-Fi, Shounen Ai",OVA,4,8.09,26036,8.09,105.585435606481,809
11113,Usagi Drop Specials,"Josei, Slice of Life",Special,4,8.07,36351,8.07,111.244756590039,807
15689,Nekomonogatari: Kuro,"Comedy, Romance, Supernatural",TV,4,8.06,173264,8.06,117.58023989364,806
17273,Hetalia: The Beautiful World Specials,"Comedy, Historical, Parody",Special,4,8,8644,8,111.88948239561,800
31973,Mobile Suit Gundam Thunderbolt,"Action, Drama, Mecha, Military, Sci-Fi, Space",ONA,4,8,14419,8,116.904592155629,800
20159,Pokemon: The Origin,"Action, Adventure, Comedy, Fantasy, Kids",Special,4,7.94,85947,7.94,106.514606745316,794
10497,Hetalia World Series Specials,"Comedy, Historical, Parody",Special,4,7.88,14348,7.88,107.563031716583,788
6050,Mahou Sensei Negima! Mou Hitotsu no Sekai,"Action, Adventure, Ecchi, Magic, Shounen, Supernatural",OVA,4,7.85,12413,7.85,105.826619002732,785
474,Macross Plus,"Drama, Mecha, Military, Romance, Sci-Fi, Space",OVA,4,7.82,23138,7.82,110.567200936875,782
5751,Prince of Tennis: Another Story - Messages From Past and Future,"Comedy, School, Shounen, Sports",OVA,4,7.82,9487,7.82,109.432644057297,782
32491,Kanojo to Kanojo no Neko: Everything Flows,"Psychological, Romance, Slice of Life",TV,4,7.75,38765,7.75,112.391835252025,775
10573,Prince of Tennis: Another Story II - Ano Toki no Bokura,"Shounen, Sports",OVA,4,7.71,6005,7.71,109.881776586802,771
23301,Pokemon XY: Mega Evolution,"Action, Adventure, Comedy, Fantasy, Kids",Special,4,7.7,10227,7.7,104.081743531463,770
7762,"Yondemasu yo, Azazel-san.","Comedy, Demons, Supernatural",OVA,4,7.7,18400,7.7,109.388283897008,770
5306,Tales of Symphonia The Animation: Tethe&#039;alla-hen,"Action, Adventure, Fantasy, Magic, Martial Arts, Shounen",OVA,4,7.67,20355,7.67,106.381381324085,767
2743,Mobile Suit Gundam Seed: Seed Supernova - Tanekyara Gekijou,"Comedy, Parody",Special,4,7.66,5508,7.66,105.447177574699,766
3626,Mobile Suit Gundam Wing: Operation Meteor,"Action, Adventure, Drama, Mecha, Military, Psychological, Sci-Fi, Space",OVA,4,7.66,6768,7.66,103.556287126474,766
10020,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"Comedy, Seinen, Slice of Life",ONA,4,7.66,101495,7.66,104.249073466936,766
15989,Saki Achiga-hen: Episode of Side-A Specials,"Game, School, Slice of Life",Special,4,7.63,9163,7.63,109.221631836418,763
3449,Kamichu! Specials,"Comedy, Drama, Slice of Life, Supernatural",Special,4,7.6,6978,7.6,109.465845195681,760
31722,Nanatsu no Taizai: Seisen no Shirushi,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,4,7.52,81154,7.52,107.743247370061,752
10178,Otona Joshi no Anime Time,"Drama, Josei, Slice of Life",Special,4,7.52,11268,7.52,104.611983048225,752
1577,Taiho Shichau zo,"Action, Comedy, Police, Seinen",OVA,4,7.51,8557,7.51,105.94134845101,751
13429,Sakasama no Patema: Beginning of the Day,Sci-Fi,Special,4,7.5,16933,7.5,103.789800679397,750
