anime_id,name,genre,type,episodes,rating,members,rating_10,rating_100,rating_1000
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420,8.42,115.125805411208,842
3167,Eve no Jikan,"Sci-Fi, Slice of Life",ONA,6,8.26,99074,8.26,111.663029333089,826
2752,Prince of Tennis: The National Tournament Semifinals,"Action, Comedy, Sports",OVA,6,8.09,21186,8.09,113.087020308519,809
227,FLCL,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",OVA,6,8.06,305165,8.06,109.820876205481,806
268,Golden Boy,"Adventure, Comedy, Ecchi",OVA,6,8.05,113040,8.05,109.362607160732,805
26123,Seitokai Yakuindomo* OVA,"Comedy, School, Shounen, Slice of Life",OVA,6,8.05,26361,8.05,113.903159756804,805
27633,Gekkan Shoujo Nozaki-kun Specials,"Comedy, Romance, School",Special,6,8,52672,8,113.223256657246,800
949,Top wo Nerae! Gunbuster,"Action, Comedy, Drama, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,7.97,51724,7.97,114.469091405174,797
254,Jungle wa Itsumo Hare nochi Guu Deluxe,"Comedy, Slice of Life",OVA,6,7.95,8847,7.95,111.741900993816,795
12893,Danshi Koukousei no Nichijou Specials,"Comedy, School, Shounen, Slice of Life",Special,6,7.94,49891,7.94,108.809393272593,794
1007,Ranma ½ OVA,"Comedy, Martial Arts, Romance, Shounen",OVA,6,7.87,16804,7.87,109.877873298137,787
31772,One Punch Man Specials,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",Special,6,7.86,75502,7.86,105.297127595132,786
82,Mobile Suit Gundam 0080: War in the Pocket,"Adventure, Drama, Mecha, Military, Sci-Fi, Space",OVA,6,7.85,22609,7.85,114.874280895352,785
10350,Hakuouki Sekkaroku,"Action, Demons, Drama, Fantasy, Historical, Josei",OVA,6,7.84,14725,7.84,115.404769216901,784
3515,Saint Seiya: Meiou Hades Elysion-hen,"Action, Fantasy, Shounen, Super Power",OVA,6,7.82,19044,7.82,111.107408021525,782
13851,To LOVE-Ru Darkness OVA,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,6,7.82,57166,7.82,109.090240305515,782
1002,Top wo Nerae 2! Diebuster,"Action, Comedy, Mecha, Sci-Fi, Space",OVA,6,7.81,38691,7.81,109.920369516935,781
540,Tenchi Muyou! Ryououki 2nd Season,"Action, Comedy, Harem, Sci-Fi, Shounen, Space",OVA,6,7.78,15837,7.78,111.345968490978,778
539,Tenchi Muyou! Ryououki,"Action, Comedy, Sci-Fi, Shounen, Space",OVA,6,7.77,25902,7.77,107.190572557428,777
1830,Utawarerumono Specials,"Action, Comedy, Drama, Fantasy",Special,6,7.75,11149,7.75,108.675730632231,775
9136,Kuroshitsuji II Specials,"Comedy, Fantasy, Parody, Shounen, Supernatural",Special,6,7.73,60899,7.73,110.95139568503,773
587,Hanbun no Tsuki ga Noboru Sora,"Comedy, Drama, Romance",TV,6,7.69,65125,7.69,108.342990529229,769
389,Karas,"Action, Fantasy, Sci-Fi",OVA,6,7.54,44108,7.54,104.823412349097,754
