anime_id,name,genre,type,episodes,rating,members,rating_10,rating_100,rating_1000
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,8.58,122.264142370409,858
235,Detective Conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,Unknown,8.25,114702,8.25,115.587511901819,825
1735,Naruto: Shippuuden,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,Unknown,7.94,533578,7.94,109.043547360687,794
966,Crayon Shin-chan,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",TV,Unknown,7.73,26267,7.73,108.835595994739,773
33157,Tanaka-kun wa Itsumo Kedaruge Specials,"Comedy, School, Slice of Life",Special,Unknown,7.72,5400,7.72,108.674242337286,772
21639,Yu☆Gi☆Oh! Arc-V,"Action, Fantasy, Game, Shounen",TV,Unknown,7.61,17571,7.61,104.111023679004,761
8687,Doraemon (2005),"Comedy, Kids, Sci-Fi, Shounen",TV,Unknown,7.59,2980,7.59,102.548959656117,759
32410,Dimension W: W no Tobira Online,"Sci-Fi, Seinen",Special,Unknown,7.4,4799,7.4,102.745767349512,740
30694,Dragon Ball Super,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,Unknown,7.4,111443,7.4,107.827996381888,740
32977,Aggressive Retsuko,"Comedy, Music",TV,Unknown,7.38,5465,7.38,103.791427339921,738
6149,Chibi Maruko-chan (1995),"Comedy, Kids, School, Slice of Life",TV,Unknown,7.37,1113,7.37,108.174031721058,737
23539,Gudetama,"Comedy, Kids",TV,Unknown,7.36,2348,7.36,103.76041714127,736
34178,Inazuma Eleven: Outer Code,Sports,ONA,Unknown,7.28,1072,7.28,100.848755593227,728
34034,Pokemon Sun &amp; Moon,"Action, Game, Kids, School",TV,Unknown,7.23,11030,7.23,97.0429308027735,723
1199,Nintama Rantarou,"Comedy, Shounen",TV,Unknown,7.18,2255,7.18,94.4134803811781,718
32717,Aikatsu Stars!,"Music, School, Shoujo, Slice of Life",TV,Unknown,7.17,4485,7.17,103.464870863904,717
34077,Cardfight!! Vanguard G: Next,"Action, Game, Shounen",TV,Unknown,7.16,1363,7.16,104.165002721678,716
23135,PriPara,"Music, School, Shoujo, Slice of Life",TV,Unknown,7.17,7680,7.17,98.9502574340357,717
33490,Kaitou Joker 4th Season,"Adventure, Comedy, Mystery, Shounen",TV,Unknown,7.12,1178,7.12,98.8296074237537,712
7643,Domo-kun,"Comedy, Kids, Slice of Life",TV,Unknown,7.09,1167,7.09,97.3482952043946,709
13163,Furusato Saisei: Nihon no Mukashibanashi,"Historical, Kids, Supernatural",TV,Unknown,7.09,6820,7.09,102.12615255597,709
19157,Youkai Watch,"Comedy, Kids, Supernatural",TV,Unknown,6.95,8147,6.95,98.6906512747501,695
32829,Nobunaga no Shinobi,"Comedy, Historical",TV,Unknown,6.65,7207,6.65,89.3194553626967,665
28921,Disney Tsum Tsum,Kids,TV,Unknown,6.61,359,6.61,96.7287523085737,661
1960,Sore Ike! Anpanman,"Comedy, Fantasy, Kids",TV,Unknown,6.61,940,6.61,87.2127551666284,661
33240,Chi&#039;s Sweet Home (2016),Slice of Life,TV,Unknown,6.57,3437,6.57,91.0509566648903,657
4459,Ojarumaru,"Adventure, Comedy, Fantasy",TV,Unknown,6.48,515,6.48,86.3053746535717,648
32670,Battle Spirits: Double Drive,"Action, Kids",TV,Unknown,6.46,515,6.46,90.2494219635726,646
32881,Tiger Mask W,"Action, Drama, Shounen, Sports",TV,Unknown,6.44,8652,6.44,87.7263414082211,644
33314,Digimon Universe: Appli Monsters,"Action, Adventure, Comedy, Fantasy, Kids",TV,Unknown,6.41,3676,6.41,88.0643765665098,641
32785,Future Card Buddyfight DDD,Game,TV,Unknown,6.39,912,6.39,88.0914033105027,639
7505,Knyacki!,"Comedy, Drama, Fantasy, Kids",ONA,Unknown,6.38,242,6.38,87.0838838245731,638
32308,Rilu Rilu Fairilu: Yousei no Door,"Fantasy, Magic",TV,Unknown,6.36,1293,6.36,88.7799637173226,636
2406,Sazae-san,"Comedy, Slice of Life",TV,Unknown,6.35,1632,6.35,91.2478641599673,635
31049,Beyblade Burst,"Action, Adventure, Sci-Fi, Shounen, Sports",TV,Unknown,6.31,3221,6.31,88.1663286117657,631
32932,Choujuu Giga,Romance,ONA,Unknown,6.28,466,6.28,84.5308279066876,628
31044,Kamisama Minarai: Himitsu no Cocotama,"Fantasy, Kids, Magic",TV,Unknown,6.17,1413,6.17,89.216516806303,617
32353,Bonobono (2016),Comedy,TV,Unknown,6.16,760,6.16,86.5378111168592,616
32248,Masamune Datenicle,"Action, Historical, Samurai, Super Power",ONA,Unknown,6.16,846,6.16,90.2583844405298,616
25049,Sushi Ninja,"Action, Comedy, Fantasy",ONA,Unknown,6.1,287,6.1,80.1311791126978,610
32772,Puzzle &amp; Dragons Cross,"Game, Kids",TV,Unknown,6.03,4369,6.03,88.3252183434241,603
32571,Shounen Ashibe: Go! Go! Goma-chan,"Comedy, Slice of Life",TV,Unknown,5.94,1625,5.94,85.4366104060428,594
8631,YanYan Machiko,"Comedy, Slice of Life",ONA,Unknown,5.92,368,5.92,82.072594218597,592
33026,Time Bokan 24,"Adventure, Comedy, Mecha",TV,Unknown,5.28,2243,5.28,73.6840551570764,528
33434,Heybot!,"Comedy, Kids, Sci-Fi",TV,Unknown,5.22,691,5.22,72.9250714139834,522
33541,Bishoujo Yuugi Unit Crane Game Girls Galaxy,"Comedy, Game, Space",TV,Unknown,5.04,1624,5.04,69.4155290106687,504
